Star Rating,Review Title,Review Description
5.0 out of 5 stars,"Great product, you should buy for it if you are a beginner","Great product for beginners, you should try it on. I use for it for Moto logging.The quality of this product is so great. Quality is definitely very nice. Voice qualities so perfect for outdoor shoots and comparability with the cameras are great. It’s easy to handle no need of great science to use it. The functionality of the product is simple.Read more"
5.0 out of 5 stars,It is THE MIC that you need for everyday content shooting & Video conference,Best Microphone that I have purchased till date. The noise cancellation feature is really good. It has a classy look and the voice quality is strong. It is compatible with Android as well as iOS. Highly recommended for content creators and people who do virtual meetings almost always. Value for Money!Read more
4.0 out of 5 stars,Good mic but Bad magnet,"Pros - It is a great product in this price range. Audio quality is great, battery life is also good, and it is a good option for beginners.Cons - However, there is 1 big shortcoming that the clip is missing on the mics and only comes with the magnets. The magnet quality is decent, but they are very small, and you may lose them very easily. I already lost 1 magnet on the very first day. And after losing the magnet, it becomes difficult to charge and handle the mic.Read more"
1.0 out of 5 stars,Worst product not recommended to buy,"Not worth buying in this price, noise cancellation work like zero work, if you click on strong noise cancellation it just target the noise to record 😔 and voice will be  recorded poorly. Then if you upgrade from app update it becomes more worst.Read more"
5.0 out of 5 stars,Purchase it without any hesitation,1st class product. I'm sorry happy 😁Read more
5.0 out of 5 stars,Value for money,Value for money! Good voice quality.Read more
5.0 out of 5 stars,Quality,"Highly recommend this product ,it's really good quality and best for use.Read more"
4.0 out of 5 stars,Noice cancellation works only with settings,Please read this if you have doubts with respect to noice cancellation!When I first got the microphone it was just not working I later found out battery was low after charging also i noticed noice cancellation was not working I complained and even scheduled return just as a last attempt I tried googling in gemini ai I found out my phone was picking internal microphone instead of the mic!!! Later I cancelled the return and kept the mic! There are 4 setting - change the settings to external audio and you will be able to work with the mic.Hollyland please send this in instruction manual all phones by default especially android use internal audio even if we connect the mic.It is compatible with android and worked well. Easy to use but play around with settings first. However noice cancellation can still be better. It's okay okay. You can use reels edits app and use noice cancellation there.Read more
5.0 out of 5 stars,Nice product.,"I specially came to amazon to find this product to write a review for it. Why? By mistake I put one of its mics in washing machine along with one of my shirts, I recalled when I had to start another meeting and it clicked that it's inside the washing machine. I ran and stopped the machine, but it was already 10-15 mins and its was wet.conclusion It was working even thought it was wet without a claimed IP rating however it can also be coincident.Very good audio quality, even when sitting in direction of cooler's throw.I use it for my teams meeting (windows) and its superb. works well with camera as well.Caution Finding, as my core purpose if for calls. I also tried taking normal phone calls with this on phone however that is not supported, you can only use it with apps which allows you to select mics inputs in phone. on PC meetings and WhatsApp call are breeze.  battery is also good. as I usually forget it on my shirt. I have observed it to be operational for continuous 4-5 hrs easily 10:40 to around 3:00 before I switch to other one.Its light and small so I hardly notice anything stuck on my shirt. overall, a very good productRead more"
5.0 out of 5 stars,Good product,"Very good item i used it , but i suggest go for its 11000 mic that is far bettee .I purchased this as i do not use it dailyRead more"
4.0 out of 5 stars,Worth the money i think ( my opinion ),"Its a good product in this price range. The sound quality of the voice output feom the device is pretty good. I got the product well packed, no damage found anywhere. It have a good battery backup. Noice reduction is also good. Better use its app to do all the customisationRead more"
1.0 out of 5 stars,I want replacement,"The media could not be loaded.Hello, I received the microphone , but it is not working.Both transmitters are not turning on. I have tried charging them fully and pressing the power button for several seconds, but there is no light or response.I also tried to use the replacement option in the app, but it is not working / not allowing me to proceed.It seems like a defective product. I would like a replacement.Please arrange a replacement as soon as possible. Thank you.Read more"
5.0 out of 5 stars,"Premium feel , but no charging head inside  , good sound","Charge it first when you receive,  no charging head is included  so i haven to use my phones  charger ,  olug the receiver usbc head to the phone and grab the mic and boom its connected,  if not press the receiver botton for 6 seconds and its done,  premium feel and sound is very clearRead more"
5.0 out of 5 stars,Best in price range,"noise cancelation is very good, easy use and carry. value for money.Read more"
5.0 out of 5 stars,Awesome microphone,"A great product, I am a YouTuber. I am satisfied with the purchase.Read more"
4.0 out of 5 stars,Best with good quality of sound,Good product I am using this on my Iphone 17pro max and it’s working good. Must buy✌🏻Read more
5.0 out of 5 stars,Brilliant mic with great noise cancellation,"Brilliant purchase for regular content creation on my iPhone 17. Works like a charm! Of special mention is the brilliant noise cancellation that cuts out ambient noise beautifully well. Please make sure you purchase ONLY the USB-C variant as that would save you a lot of money since it works on all USB-C compatible devices. I bought the combo (USB-C and Lightning) variant that cost me upwards of Rs.7,000/- as when I purchased this kit, only the USB-C variant wasn't available.Read more"
