Star Rating,Review Title Cleaned,Review Description Cleaned
5.0 out of 5 stars,great product you should buy if you are beginner,great product beginners you should try i use moto loggingthe quality product so great quality definitely very nice voice qualities so perfect outdoor shoots comparability cameras are great it’s easy handle no need great science use functionality product simpleread more
5.0 out of 5 stars,mic you need everyday content shooting video conference,best microphone i have purchased till date noise cancellation feature really good has classy look voice quality strong compatible android well ios highly recommended content creators people who do virtual meetings almost always value moneyread more
4.0 out of 5 stars,good mic but bad magnet,pros great product price range audio quality great battery life also good good option beginnerscons however there 1 big shortcoming clip missing mics only comes magnets magnet quality decent but they are very small you may lose them very easily i already lost 1 magnet very first day after losing magnet becomes difficult charge handle micread more
1.0 out of 5 stars,worst product not recommended buy,not worth buying price noise cancellation work like zero work if you click strong noise cancellation just target noise record 😔 voice will be recorded poorly then if you upgrade from app update becomes more worstread more
5.0 out of 5 stars,purchase without any hesitation,1st class product im sorry happy 😁read more
5.0 out of 5 stars,value money,value money good voice qualityread more
5.0 out of 5 stars,quality,highly recommend product really good quality best useread more
4.0 out of 5 stars,noice cancellation works only settings,please read if you have doubts respect noice cancellationwhen i first got microphone just not working i later found out battery low after charging also i noticed noice cancellation not working i complained even scheduled return just last attempt i tried googling gemini ai i found out my phone picking internal microphone instead mic later i cancelled return kept mic there are 4 setting change settings external audio you will be able work michollyland please send instruction manual all phones by default especially android use internal audio even if we connect micit compatible android worked well easy use but play around settings first however noice cancellation can still be better okay okay you can use reels edits app use noice cancellation thereread more
5.0 out of 5 stars,nice product,i specially came amazon find product write review why by mistake i put one mics washing machine along one my shirts i recalled when i had start another meeting clicked inside washing machine i ran stopped machine but already 1015 mins wetconclusion working even thought wet without claimed ip rating however can also be coincidentvery good audio quality even when sitting direction coolers throwi use my teams meeting windows superb works well camera wellcaution finding my core purpose if calls i also tried taking normal phone calls phone however not supported you can only use apps which allows you select mics inputs phone pc meetings whatsapp call are breeze battery also good i usually forget my shirt i have observed be operational continuous 45 hrs easily 1040 around 300 before i switch other oneits light small so i hardly notice anything stuck my shirt overall very good productread more
5.0 out of 5 stars,good product,very good item i used but i suggest go 11000 mic far bettee i purchased i do not use dailyread more
4.0 out of 5 stars,worth money i think my opinion,good product price range sound quality voice output feom device pretty good i got product well packed no damage found anywhere have good battery backup noice reduction also good better use app do all customisationread more
1.0 out of 5 stars,i want replacement,media could not be loadedhello i received microphone but not workingboth transmitters are not turning i have tried charging them fully pressing power button several seconds but there no light or responsei also tried use replacement option app but not working not allowing me proceedit seems like defective product i would like replacementplease arrange replacement soon possible thank youread more
5.0 out of 5 stars,premium feel but no charging head inside good sound,charge first when you receive no charging head included so i haven use my phones charger olug receiver usbc head phone grab mic boom connected if not press receiver botton 6 seconds done premium feel sound very clearread more
5.0 out of 5 stars,best price range,noise cancelation very good easy use carry value moneyread more
5.0 out of 5 stars,awesome microphone,great product i am youtuber i am satisfied purchaseread more
4.0 out of 5 stars,best good quality sound,good product i am using my iphone 17pro max it’s working good must buy✌🏻read more
5.0 out of 5 stars,brilliant mic great noise cancellation,brilliant purchase regular content creation my iphone 17 works like charm special mention brilliant noise cancellation cuts out ambient noise beautifully well please make sure you purchase only usbc variant would save you lot money since works all usbc compatible devices i bought combo usbc lightning variant cost me upwards rs7000 when i purchased kit only usbc variant wasnt availableread more
5.0 out of 5 stars,gereat wireless mic beginners,prosexcellent noise cancellation filters out background noise very effectively keeping subject’s voice clear focusedhighquality audio clear natural sound—good vlogging interviews voice recordingsstrong default gain mic gain set high by default which works well outdoor recording or when your subject isn’t very close micversatile use cases suitable voiceovers podcasts online meetings online classes vlogs interviews etcconvenient charging case if included having case allows you charge mics go which especially helpful long sessions outdoor usesconsappdependent gain control mic gain can only be adjusted through app which limits control when using mic camerabattery life battery performance average longer shoots may require frequent chargingrange limitations wireless range good typical use but may not be ideal large venues or obstructed environmentsmagnet mount instead clip transmitter uses magnet mount rather than traditional clip which may not secure well all clothing typesread more
5.0 out of 5 stars,good product can trust buy,media could not be loadedvery nice genuine product im writing review after using more than week i use iphone super compatible comfortable during recording videos down side may not work all apps you have but best product anyone who looking mic super noise cancelation battery life also really good i charged once lasting week based your usage may vary over all good product but cost little higher endread more
